File_Path,Original_Text,Target_Translation
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemSyringes\PlayerBark_Inventory_Full_MyMedkitIsFull_1_Sub.json,My medkit is full.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\FullOnItemSyringes\PlayerBark_Inventory_Full_MyMedkitIsFull_2_Sub.json,My medkit is full.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_AlmostEmpty_1_Sub.json,Almost empty.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_AlmostEmpty_2_Sub.json,Almost empty.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_AlmostOut_1_Sub.json,Almost out.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_AlmostOut_2_Sub.json,Almost out.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_AlmostOut_3_Sub.json,Almost out.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_LastItem_1_Sub.json,Last item.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_LastItem_2_Sub.json,Last item.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_OneItemLeft_1_Sub.json,One item left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_OneItemLeft_2_Sub.json,One item left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_OneLeft_1_Sub.json,One left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItem\PlayerBark_Inventory_LastItem_OneLeft_2_Sub.json,One left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemFilters\PlayerBark_Inventory_LastItem_LastFilter_1_Sub.json,Last filter.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemFilters\PlayerBark_Inventory_LastItem_LastFilter_2_Sub.json,Last filter.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemFilters\PlayerBark_Inventory_LastItem_OneFilterLeft_1_Sub.json,One filter left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemFilters\PlayerBark_Inventory_LastItem_OneFilterLeft_2_Sub.json,One filter left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemGrenades\PlayerBark_Inventory_LastItem_LastGrenade_1_Sub.json,Last grenade.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemGrenades\PlayerBark_Inventory_LastItem_LastGrenade_2_Sub.json,Last grenade.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemGrenades\PlayerBark_Inventory_LastItem_OneGrenadeLeft_1_Sub.json,One grenade left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemGrenades\PlayerBark_Inventory_LastItem_OneGrenadeLeft_2_Sub.json,One grenade left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemPistol\PlayerBark_Inventory_LastItem_LastClip_1_Sub.json,Last clip.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemPistol\PlayerBark_Inventory_LastItem_LastClip_2_Sub.json,Last clip.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemPistol\PlayerBark_Inventory_LastItem_OneClipLeft_1_Sub.json,One clip left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemPistol\PlayerBark_Inventory_LastItem_OneClipLeft_2_Sub.json,One clip left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemRifle\PlayerBark_Inventory_LastItem_LastMag_1_Sub.json,Last mag.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemRifle\PlayerBark_Inventory_LastItem_LastMag_2_Sub.json,Last mag.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemRifle\PlayerBark_Inventory_LastItem_OneMagLeft_1_Sub.json,One mag left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemRifle\PlayerBark_Inventory_LastItem_OneMagLeft_2_Sub.json,One mag left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemShotgun\PlayerBark_Inventory_LastItem_LastShell_1_Sub.json,Last shell.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemShotgun\PlayerBark_Inventory_LastItem_LastShell_2_Sub.json,Last shell.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemShotgun\PlayerBark_Inventory_LastItem_OneShellLeft_1_Sub.json,One shell left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemShotgun\PlayerBark_Inventory_LastItem_OneShellLeft_2_Sub.json,One shell left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemSyringes\PlayerBark_Inventory_LastItem_LastVial_1_Sub.json,Last vial.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemSyringes\PlayerBark_Inventory_LastItem_LastVial_2_Sub.json,Last vial.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemSyringes\PlayerBark_Inventory_LastItem_OneVialLeft_1_Sub.json,One vial left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\LastItemSyringes\PlayerBark_Inventory_LastItem_OneVialLeft_2_Sub.json,One vial left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_IMAllOut_1_Sub.json,I‘m all out.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_IMAllOut_2_Sub.json,I‘m all out.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_IMEmpty_1_Sub.json,I‘m empty.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_IMEmpty_2_Sub.json,I‘m empty.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_IMOut_1_Sub.json,I‘m out.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_IMOut_2_Sub.json,I‘m out.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_ImOutOfItems_1_Sub.json,I’m out of items.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_ImOutOfItems_2_Sub.json,I’m out of items.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_NoneLeft_1_Sub.json,None left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItem\PlayerBark_Inventory_OutOfItem_NoneLeft_2_Sub.json,None left.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemFilters\PlayerBark_Inventory_OutOfItem_ImOutOfFilters_1_Sub.json,I’m out of filters.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemFilters\PlayerBark_Inventory_OutOfItem_ImOutOfFilters_2_Sub.json,I’m out of filters.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemGrenades\PlayerBark_Inventory_OutOfItem_ImOutOfGrenades_1_Sub.json,I’m out of grenades.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemGrenades\PlayerBark_Inventory_OutOfItem_ImOutOfGrenades_2_Sub.json,I’m out of grenades.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemPistol\PlayerBark_Inventory_OutOfItem_ImOutOfClips_1_Sub.json,I’m out of clips.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemPistol\PlayerBark_Inventory_OutOfItem_ImOutOfClips_2_Sub.json,I’m out of clips.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemRifle\PlayerBark_Inventory_OutOfItem_ImOutOfMagazines_1_Sub.json,I’m out of magazines.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemRifle\PlayerBark_Inventory_OutOfItem_ImOutOfMagazines_2_Sub.json,I’m out of magazines.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemShotgun\PlayerBark_Inventory_OutOfItem_ImOutOfShells_1_Sub.json,I’m out of shells.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemShotgun\PlayerBark_Inventory_OutOfItem_ImOutOfShells_2_Sub.json,I’m out of shells.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemSyringes\PlayerBark_Inventory_OutOfItem_ImOutOfVials_1_Sub.json,I’m out of vials.,
Impact\Content\Assets\Audio\VO\PlayerVO\Inventory\OutOfItemSyringes\PlayerBark_Inventory_OutOfItem_ImOutOfVials_2_Sub.json,I’m out of vials.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_Agh_Sub.json,Agh!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_AndDiff_Sub.json,"And yes, I know there is no difference between day and night down here.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_BringMen_Sub.json,"Sergey, bring the men.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_CloseDoor_Sub.json,"Close the door, Serdar! Now!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_ComeOn_Sub.json,"Come on, open the door!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_ComeSergey_Sub.json,"Come, Sergey is waiting for us.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_DontLeave_Sub.json,"Serdar, don't leave me waiting too long.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_FineWait_Sub.json,"Fine, I'll wait a bit.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_GetTo_Sub.json,Get to the gate and close it!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_GoSerdar_Sub.json,"Go, Serdar!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_HeySerd_Sub.json,Hey Serdar. Over here.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_ICan_Sub.json,I can hear you in there.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_ImRunning_Sub.json,I'm running low on ammo!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_IsTheDrink_Sub.json,"Is the drink not to your liking, your majesty?",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_IsThisHow_Sub.json,Is this how our great Khan treats his friends?,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_ItsMe_Sub.json,"It's me, Evgeniy!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_Just_Sub.json,Just do it!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_OurGreat_Sub.json,Our great Khan has finally awoken.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_PolAttack_Sub.json,Polyanka is under attack!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_Serdar1_Sub.json,Serdar!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_Serdar2_Sub.json,Serdar?,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdarLets_Sub.json,"Serdar, let's go!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdarToDoor_Sub.json,"Serdar, get to the door!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdarWake_Sub.json,"Serdar, wake up!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdarWakeUp_Sub.json,Serdar! Wake up!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdCom_Sub.json,Serdar? Are you coming?,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdKuz_Sub.json,"Serdar, Kuzmich, follow Sergey.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdKuz_Sub.json,Make your way to the south entrance.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdKuz_Sub.json,Use an explosive to blow it up.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerdReady_Sub.json,"Serdar, get ready! It's gonna get tough...",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SergeyComeOn_Sub.json,"Sergey, come on, we have to go.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SerSer_Sub.json,"Seriously, Serdar, who sleeps during the day?",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SoEveryone_Sub.json,So everyone's a bit tense as you might imagine.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_SoundAlarm_Sub.json,Sound the alarm!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_ToLiving_Sub.json,To living!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_WellFriends_Sub.json,"Well guys, let's have a drink!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_WereAll_Sub.json,We're all that's left.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_WeSquad_Sub.json,We're preparing a team to take them down.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_WhatAreYou_Sub.json,What are you waiting for!?,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_WhereIs_Sub.json,What's up. Where is everyone!?,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_YesListen_Sub.json,Yes...,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_YesListen_Sub.json,"Listen to me, Khan.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_YesListen_Sub.json,You're not a bad guy. But you keep to yourself too much.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_YesListen_Sub.json,Always sitting with your books - even talking you into getting a drink is tough...,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_YesListen_Sub.json,"Lighten up a bit, man!",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_YouLikely_Sub.json,"You likely already heard the rumors,",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Evgeniy_YouLikely_Sub.json,but there was a mutant attack on one of our guardposts.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Female_Doct_Sub.json,Doctor.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Guard1_Agh_Sub.json,Agh!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Guard3_Serd_Sub.json,Serdar.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Guard4_Aagh_Sub.json,Aaaagh!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Guard4_DieDie_Sub.json,Die! Die! Die!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Kuzmich_Aagh_Sub.json,Agghh!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Kuzmich_AmbushedUs_Sub.json,They ambushed us!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Kuzmich_BelliesUnpro_Sub.json,They go down quicker if you shoot their stomachs!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Kuzmich_MoreAre_Sub.json,More are coming!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Kuzmich_NosHorde_Sub.json,Nosalis! A damn horde!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Kuzmich_ShootBellies_Sub.json,Shoot them in the gut!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Kuzmich_ShootThem_Sub.json,Shoot their stomachs!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Kuzmich_TheyCome_Sub.json,They're coming for Polyanka!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male1_IGet_Sub.json,"I get that you need every man, but I can't just leave this place.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male1_ThatsNot_Sub.json,That's not the part that worries me.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male1_WhatIf_Sub.json,What if I am?,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male2_Barracks_Sub.json,I'll be waiting for you at the barracks.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male2_ItsNot_Sub.json,It's not a request. And we'll ensure your wife and kid are protected.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male2_No_Sub.json,No!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male2_WeAll_Sub.json,"We all are, Pyotr. Which is why we need you.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male2_YourScared_Sub.json,You're scared?,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male3_Doct_Sub.json,Doctor.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male4_NonNos_Sub.json,Nonsense. Nosalis don't hunt this far up the tunnels.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male4_OkayEnough_Sub.json,"Okay, I've heard enough. How am I supposed to sleep tonight?",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male4_Panting_Sub.json,Heeeelp!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male4_WasIt_Sub.json,Was it those slavers again?,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male4_WhatMut_Sub.json,"What, mutants?",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male5_NoWorse_Sub.json,"No, worse.",
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male5_SlaveRip_Sub.json,Slavers don't rip people's arms off.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male5_WithGun_Sub.json,With a gun underneath your pillow.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male5_YesNos_Sub.json,Yes. We think Nosalis.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Male7_DontDie_Sub.json,I don't wanna die!,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Serdar_Good_Sub.json,Good day.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Serdar_IAdvice_Sub.json,I appreciate the advice.,
Impact\Content\Maps\Chapters\Chapter00\Sequences\Ch00_RNPCE_Prologue_Serdar_IWillThank_Sub.json,"I will, thank you.",
